Region,season,year,Metrics,values
Western North Island,Winter,2001,Maximum_Intensity,1.384238146
Western North Island,Winter,2001,Cumulative_Intensity,30.80301916
Western North Island,Winter,2002,Number_MHW_days,0.619047619
Western North Island,Winter,2002,Nevents,0.142857143
Western North Island,Winter,2002,Mean_Intensity,0.97349527
Western North Island,Winter,2002,Maximum_Intensity,1.040966768
Western North Island,Winter,2002,Cumulative_Intensity,0.596580903
Western North Island,Winter,2003,Number_MHW_days,20.76190476
Western North Island,Winter,2003,Nevents,2.142857143
Western North Island,Winter,2003,Mean_Intensity,0.950104794
Western North Island,Winter,2003,Maximum_Intensity,1.182215241
Western North Island,Winter,2003,Cumulative_Intensity,19.64539473
Western North Island,Winter,2004,Number_MHW_days,0
Western North Island,Winter,2004,Nevents,0
Western North Island,Winter,2004,Mean_Intensity,0
Western North Island,Winter,2004,Maximum_Intensity,0
Western North Island,Winter,2004,Cumulative_Intensity,0
Western North Island,Winter,2005,Number_MHW_days,18.28571429
Western North Island,Winter,2005,Nevents,1.380952381
Western North Island,Winter,2005,Mean_Intensity,0.92067758
Western North Island,Winter,2005,Maximum_Intensity,1.27785239
Western North Island,Winter,2005,Cumulative_Intensity,17.43624267
Western North Island,Winter,2006,Number_MHW_days,0
